
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.08079	 0.06839	 0.11961	 0.08899	 0.09139	 0.02490	 0.05940	 0.06303	 0.05158	 0.05447	 0.04479	 0.08454	 0.03581	
b-decay branching fractions		 0.00063	 0.00016	 0.00164	 0.00361	 0.00062	 0.00142	 0.00177	 0.00027	 0.00186	 0.00030	 0.00063	 0.00531	 0.00156	
b-decay p* spectrum			 -0.02112	 -0.01566	 -0.01274	 -0.01069	 -0.02718	 -0.03730	 -0.02061	 -0.00374	 -0.00673	 -0.00601	 -0.00327	 0.00462	 -0.00728	
b-fragmentation fraction		 0.00243	 -0.00019	 -0.00529	 0.01012	 -0.00230	 0.00595	 -0.00777	 0.00343	 0.00266	 -0.00503	 0.00286	 -0.00120	 0.00068	
b-fragmentation function		 0.00376	 0.00032	 0.00707	 0.00418	 0.00035	 0.00413	 0.00368	 0.00116	 0.00389	 0.00043	 0.00067	 0.00175	 0.00219	
charm-light ratio			 0.01461	 0.01661	 0.00513	 0.02170	 0.01999	 0.01828	 0.01432	 0.01296	 0.00038	 0.00343	 0.00187	 0.01276	 0.02292	
fake muons in b-jets			 -0.00005	 -0.00029	 0.00042	 -0.00153	 -0.00042	 -0.00031	 0.00002	 -0.00073	 0.00032	 -0.00179	 -0.00078	 -0.00035	 -0.00110	
jet energy resolution			 -0.01064	 0.00580	 -0.03817	 -0.01135	 0.00415	 -0.02052	 -0.01704	 0.04567	 -0.01792	 -0.01201	 0.00747	 -0.00867	 -0.00897	
jet energy scale			 0.00504	 0.00006	 0.00982	 0.00308	 0.01446	 0.00249	 0.00542	 0.01704	 0.00722	 0.00562	 0.00157	 0.00172	 0.00938	
modelling of b-production		 0.00121	 0.00038	 0.00107	 0.00192	 0.00086	 0.00070	 0.00029	 0.00017	 0.00097	 0.00076	 0.00262	 0.00458	 0.00136	
modelling of c-production		 0.00173	 0.00219	 0.00834	 0.01177	 0.00031	 0.00214	 0.01115	 0.00990	 0.02191	 0.03597	 0.04835	 0.09232	 0.09942	
modelling of the b-hadron direction	 0.00143	 0.00796	 -0.00770	 -0.00238	 -0.00203	 -0.00790	 0.00389	 0.00654	 0.00506	 0.00883	 0.00685	 0.00872	 0.00900	
muon pT spectrum			 -0.00490	 -0.00652	 -0.01202	 -0.01392	 -0.00345	 -0.00795	 -0.00284	 -0.00080	 -0.00649	 -0.00364	 -0.00707	 -0.01125	 -0.00162	
pileup mu reweighting			 0.00465	 0.00141	 0.00870	 0.00784	 0.00125	 0.00004	 0.00322	 0.00834	 0.00162	 0.01407	 0.00243	 0.00334	 0.01266	
ptrel light template contamination	 -0.00250	 -0.00674	 -0.00717	 -0.00999	 -0.00710	 -0.00391	 -0.00671	 -0.00368	 -0.00864	 -0.00268	 -0.00225	 -0.00278	 -0.00093	
scale factor for inclusive b-jets	 0.03608	 0.03477	 0.03936	 0.03638	 0.03575	 0.03750	 0.03651	 0.03577	 0.03818	 0.03467	 0.03590	 0.03694	 0.03554	
semileptonic correction			 -0.00059	 -0.00120	 -0.00270	 0.00216	 -0.00302	 -0.00478	 0.00180	 -0.00018	 -0.00423	 0.00035	 -0.00237	 0.00961	 -0.00211	
simulation tagging efficiency		 0.01521	 0.01602	 0.01391	 0.01879	 0.02127	 0.00974	 0.00459	 0.00633	 0.00747	 0.01122	 0.01171	 0.00490	 0.00508	
