
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.00897	 0.03115	 0.03410	 0.01492	 0.03172	 0.01043	 0.00773	 0.01438	 0.02778	 0.02379	 0.05935	 0.03986	 0.03310	
b-decay branching fractions		 0.00072	 0.00131	 0.00041	 0.00003	 0.00057	 0.00049	 0.00177	 0.00022	 0.00067	 0.00186	 0.00011	 0.00064	 0.00007	
b-decay p* spectrum			 -0.02134	 -0.01008	 0.00375	 -0.01092	 -0.01035	 -0.01667	 -0.02676	 -0.00362	 -0.00027	 -0.00949	 0.00721	 0.00094	 -0.00208	
b-fragmentation fraction		 -0.00079	 -0.00019	 -0.00232	 -0.00043	 -0.00500	 -0.00056	 -0.00770	 0.00426	 -0.00069	 0.00505	 -0.00392	 0.00262	 -0.00118	
b-fragmentation function		 0.00010	 0.00255	 0.00069	 0.00111	 0.00041	 0.00374	 0.00319	 0.00049	 0.00076	 0.00253	 0.00198	 0.00952	 0.00729	
charm-light ratio			 0.01254	 0.01970	 0.01027	 0.02070	 0.01542	 0.01572	 0.01266	 0.00997	 0.00702	 0.00780	 0.00770	 0.01157	 0.02075	
fake muons in b-jets			 -0.00005	 0.00002	 0.00089	 -0.00162	 -0.00004	 0.00008	 -0.00003	 0.00068	 -0.00010	 -0.00112	 -0.00077	 -0.00025	 -0.00106	
jet energy resolution			 0.00270	 -0.00083	 -0.00871	 -0.00179	 0.00200	 0.00374	 -0.00580	 -0.00061	 0.00604	 0.00821	 -0.00200	 -0.02376	 0.00345	
jet energy scale			 0.00737	 0.00095	 0.00453	 0.01299	 0.00085	 0.00053	 0.00353	 0.00725	 0.00633	 0.00393	 0.00834	 0.00590	 0.00300	
modelling of b-production		 0.00045	 0.00002	 0.00071	 0.00037	 0.00038	 0.00052	 0.00078	 0.00015	 0.00042	 0.00048	 0.00068	 0.00682	 0.00329	
modelling of c-production		 0.00187	 0.00595	 0.00321	 0.01389	 0.00118	 0.00255	 0.01352	 0.01184	 0.01735	 0.03174	 0.03536	 0.08545	 0.09935	
modelling of the b-hadron direction	 0.00039	 -0.00129	 0.00239	 -0.00060	 0.00108	 0.00105	 0.00298	 -0.00640	 0.00934	 0.01210	 0.01106	 0.00144	 0.02574	
muon pT spectrum			 -0.00271	 -0.00272	 -0.00146	 -0.00480	 -0.00217	 -0.00202	 -0.00081	 0.00036	 -0.00281	 -0.00491	 -0.00211	 -0.01396	 -0.01417	
pileup mu reweighting			 0.00633	 0.00535	 0.00515	 0.00092	 0.00189	 0.00547	 0.00151	 0.00344	 0.00374	 0.00423	 0.00712	 0.00087	 0.01527	
ptrel light template contamination	 -0.00182	 -0.00526	 -0.00468	 -0.00828	 -0.00467	 -0.00273	 -0.00587	 -0.00449	 -0.00723	 -0.00292	 -0.00167	 -0.00685	 -0.00037	
scale factor for inclusive b-jets	 0.03804	 0.03826	 0.03881	 0.03975	 0.03683	 0.03909	 0.03980	 0.03962	 0.03996	 0.03914	 0.03923	 0.04254	 0.04158	
semileptonic correction			 -0.00389	 0.00004	 -0.00067	 -0.00215	 -0.00212	 -0.00202	 -0.00031	 -0.00048	 -0.00089	 0.00005	 0.00068	 0.00317	 -0.00330	
simulation tagging efficiency		 0.01103	 0.01319	 0.00806	 0.01626	 0.01750	 0.00840	 0.00415	 0.00593	 0.00676	 0.01023	 0.01038	 0.00434	 0.00417	
