
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.04174	 0.04483	 0.09099	 0.08203	 0.07476	 0.02722	 0.05172	 0.05301	 0.04143	 0.04590	 0.04171	 0.07913	 0.03525	
b-decay branching fractions		 0.00047	 0.00039	 0.00134	 0.00348	 0.00048	 0.00101	 0.00184	 0.00025	 0.00171	 0.00037	 0.00044	 0.00624	 0.00175	
b-decay p* spectrum			 -0.01902	 -0.01513	 -0.01187	 -0.01101	 -0.02158	 -0.03316	 -0.02030	 -0.00369	 -0.00745	 -0.00665	 -0.00464	 0.00152	 -0.00786	
b-fragmentation fraction		 0.00306	 0.00072	 -0.00405	 0.00921	 -0.00185	 0.00601	 -0.00776	 0.00342	 0.00237	 -0.00470	 0.00221	 0.00036	 0.00080	
b-fragmentation function		 0.00343	 0.00075	 0.00578	 0.00303	 0.00087	 0.00409	 0.00412	 0.00089	 0.00424	 0.00023	 0.00009	 0.00503	 0.00393	
charm-light ratio			 0.01303	 0.01623	 0.00417	 0.02055	 0.01790	 0.01779	 0.01397	 0.01235	 0.00095	 0.00395	 0.00197	 0.01382	 0.02405	
fake muons in b-jets			 0.00004	 -0.00038	 0.00037	 -0.00137	 -0.00026	 -0.00013	 -0.00005	 -0.00085	 0.00032	 -0.00150	 -0.00049	 -0.00058	 -0.00143	
jet energy resolution			 -0.00691	 0.00764	 -0.03566	 -0.01166	 0.00729	 -0.01906	 -0.01624	 0.04650	 -0.01829	 -0.00925	 0.00770	 -0.00586	 -0.00828	
jet energy scale			 0.00481	 0.00027	 0.00798	 0.00198	 0.01147	 0.00070	 0.00562	 0.01658	 0.00636	 0.00536	 0.00152	 0.00148	 0.01150	
modelling of b-production		 0.00150	 0.00042	 0.00097	 0.00137	 0.00070	 0.00060	 0.00020	 0.00014	 0.00118	 0.00053	 0.00175	 0.00054	 0.00025	
modelling of c-production		 0.00155	 0.00210	 0.00789	 0.01136	 0.00041	 0.00214	 0.01044	 0.01009	 0.02127	 0.03616	 0.04683	 0.09291	 0.10974	
modelling of the b-hadron direction	 0.00164	 0.00798	 -0.00863	 -0.00416	 -0.00236	 -0.00603	 0.00600	 0.00672	 0.00302	 0.00801	 0.00613	 0.01383	 0.01279	
muon pT spectrum			 -0.00425	 -0.00617	 -0.01040	 -0.01338	 -0.00211	 -0.00684	 -0.00282	 -0.00075	 -0.00678	 -0.00391	 -0.00735	 -0.01261	 -0.00031	
pileup mu reweighting			 0.00478	 0.00276	 0.00755	 0.00890	 0.00142	 0.00037	 0.00296	 0.00819	 0.00160	 0.01469	 0.00277	 0.00335	 0.01402	
ptrel light template contamination	 -0.00216	 -0.00642	 -0.00664	 -0.01008	 -0.00664	 -0.00360	 -0.00683	 -0.00392	 -0.00914	 -0.00206	 -0.00248	 -0.00255	 -0.00098	
scale factor for inclusive b-jets	 0.03632	 0.03625	 0.03860	 0.03739	 0.03585	 0.03752	 0.03721	 0.03732	 0.03958	 0.03706	 0.03756	 0.03998	 0.03917	
semileptonic correction			 -0.00045	 -0.00132	 -0.00186	 0.00209	 -0.00231	 -0.00380	 0.00206	 -0.00041	 -0.00460	 0.00048	 -0.00268	 0.01154	 -0.00176	
simulation tagging efficiency		 0.01384	 0.01462	 0.01245	 0.01752	 0.01873	 0.00871	 0.00432	 0.00601	 0.00710	 0.01068	 0.01114	 0.00472	 0.00489	
