
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.01326	 0.03739	 0.03967	 0.01696	 0.02974	 0.01307	 0.02957	 0.02885	 0.02490	 0.03398	 0.06258	 0.06371	 0.03898	
b-decay branching fractions		 0.00080	 0.00164	 0.00062	 0.00055	 0.00075	 0.00055	 0.00203	 0.00001	 0.00072	 0.00207	 0.00013	 0.00060	 0.00048	
b-decay p* spectrum			 -0.02819	 -0.01191	 0.00511	 -0.01595	 -0.01591	 -0.02066	 -0.03009	 -0.00601	 -0.00104	 -0.01092	 0.00618	 -0.00105	 -0.00559	
b-fragmentation fraction		 -0.00065	 -0.00102	 -0.00335	 0.00052	 -0.00654	 -0.00179	 -0.00765	 0.00338	 -0.00060	 0.00631	 -0.00305	 0.00197	 -0.00126	
b-fragmentation function		 0.00059	 0.00305	 0.00045	 0.00263	 0.00059	 0.00345	 0.00367	 0.00002	 0.00124	 0.00244	 0.00185	 0.00952	 0.00797	
charm-light ratio			 0.01552	 0.02343	 0.01291	 0.02732	 0.01922	 0.01782	 0.01410	 0.01017	 0.00716	 0.00741	 0.00749	 0.01294	 0.02204	
fake muons in b-jets			 -0.00024	 0.00004	 0.00093	 -0.00280	 -0.00001	 0.00001	 -0.00004	 0.00084	 -0.00008	 -0.00114	 -0.00065	 -0.00037	 -0.00085	
jet energy resolution			 0.00376	 0.00149	 -0.01281	 0.00082	 0.00547	 0.00003	 -0.00548	 0.00052	 0.00428	 0.00729	 -0.00020	 -0.02490	 0.00145	
jet energy scale			 0.00985	 0.00089	 0.00543	 0.01932	 0.00403	 0.00055	 0.00408	 0.00719	 0.00603	 0.00403	 0.00850	 0.00581	 0.00230	
modelling of b-production		 0.00060	 0.00000	 0.00099	 0.00031	 0.00040	 0.00042	 0.00078	 0.00037	 0.00039	 0.00051	 0.00071	 0.00781	 0.00391	
modelling of c-production		 0.00231	 0.00713	 0.00422	 0.01757	 0.00147	 0.00306	 0.01514	 0.01295	 0.01914	 0.03348	 0.03762	 0.08734	 0.09846	
modelling of the b-hadron direction	 0.00102	 -0.00169	 0.00351	 -0.00014	 0.00200	 0.00108	 0.00302	 -0.00684	 0.00869	 0.01147	 0.01144	 0.00266	 0.02636	
muon pT spectrum			 -0.00347	 -0.00313	 -0.00182	 -0.00759	 -0.00265	 -0.00264	 -0.00094	 0.00028	 -0.00325	 -0.00566	 -0.00231	 -0.01446	 -0.01586	
pileup mu reweighting			 0.00784	 0.00640	 0.00584	 0.00362	 0.00406	 0.00648	 0.00205	 0.00374	 0.00397	 0.00404	 0.00741	 0.00125	 0.01500	
ptrel light template contamination	 -0.00209	 -0.00615	 -0.00579	 -0.01069	 -0.00592	 -0.00318	 -0.00632	 -0.00513	 -0.00710	 -0.00279	 -0.00180	 -0.00677	 -0.00034	
scale factor for inclusive b-jets	 0.03771	 0.03742	 0.03777	 0.03893	 0.03476	 0.03827	 0.03874	 0.04032	 0.03955	 0.03865	 0.03854	 0.04177	 0.04059	
semileptonic correction			 -0.00434	 0.00028	 -0.00033	 -0.00261	 -0.00351	 -0.00201	 -0.00043	 -0.00035	 -0.00089	 0.00009	 0.00043	 0.00318	 -0.00342	
simulation tagging efficiency		 0.01033	 0.01337	 0.00825	 0.01649	 0.01709	 0.00883	 0.00423	 0.00611	 0.00689	 0.01041	 0.01058	 0.00441	 0.00424	
