
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.05473	 0.04833	 0.06329	 0.03170	 0.07388	 0.01564	 0.04166	 0.05371	 0.04978	 0.05128	 0.08899	 0.06147	 0.04580	
b-decay branching fractions		 0.00049	 0.00157	 0.00114	 0.00078	 0.00119	 0.00037	 0.00244	 0.00011	 0.00077	 0.00189	 0.00012	 0.00048	 0.00061	
b-decay p* spectrum			 -0.02938	 -0.01346	 0.00723	 -0.01588	 -0.01497	 -0.02267	 -0.03212	 -0.00636	 -0.00062	 -0.01027	 0.00660	 0.00153	 -0.00114	
b-fragmentation fraction		 -0.00097	 -0.00120	 -0.00376	 0.00024	 -0.00776	 -0.00141	 -0.00979	 0.00351	 -0.00047	 0.00561	 -0.00240	 0.00096	 -0.00150	
b-fragmentation function		 0.00073	 0.00275	 0.00102	 0.00130	 0.00198	 0.00189	 0.00379	 0.00058	 0.00138	 0.00233	 0.00244	 0.01098	 0.00765	
charm-light ratio			 0.01402	 0.02304	 0.01054	 0.02776	 0.01838	 0.01640	 0.01492	 0.01058	 0.00570	 0.00760	 0.00748	 0.01050	 0.01638	
fake muons in b-jets			 -0.00018	 0.00001	 0.00120	 -0.00340	 -0.00012	 0.00003	 -0.00004	 0.00081	 -0.00006	 -0.00114	 -0.00058	 -0.00016	 -0.00118	
jet energy resolution			 0.00419	 0.00012	 -0.01127	 0.00354	 0.00405	 -0.00093	 -0.00165	 0.00453	 0.00469	 0.00771	 0.00217	 -0.01910	 0.00380	
jet energy scale			 0.00677	 0.00289	 0.00699	 0.01784	 0.00593	 0.00421	 0.00493	 0.00775	 0.00591	 0.00264	 0.00858	 0.00609	 0.00348	
modelling of b-production		 0.00059	 0.00021	 0.00118	 0.00043	 0.00097	 0.00023	 0.00082	 0.00054	 0.00062	 0.00078	 0.00115	 0.00990	 0.00346	
modelling of c-production		 0.00190	 0.00667	 0.00362	 0.01606	 0.00120	 0.00267	 0.01607	 0.01252	 0.01847	 0.03137	 0.04025	 0.08094	 0.08887	
modelling of the b-hadron direction	 0.00213	 0.00081	 0.00482	 0.00247	 0.00409	 0.00259	 0.00385	 -0.00643	 0.00907	 0.01118	 0.01135	 0.00333	 0.02725	
muon pT spectrum			 0.00707	 0.00893	 0.00738	 0.00722	 0.01162	 0.00259	 0.00859	 0.01032	 -0.00359	 -0.00199	 0.00068	 -0.01147	 -0.01149	
pileup mu reweighting			 0.00882	 0.00593	 0.00578	 0.00498	 0.00531	 0.00612	 0.00230	 0.00418	 0.00494	 0.00381	 0.00699	 0.00185	 0.01610	
ptrel light template contamination	 -0.00238	 -0.00636	 -0.00671	 -0.00939	 -0.00773	 -0.00326	 -0.00603	 -0.00449	 -0.00654	 -0.00275	 -0.00189	 -0.00743	 -0.00030	
scale factor for inclusive b-jets	 0.03507	 0.03486	 0.03721	 0.03522	 0.03259	 0.03568	 0.03836	 0.03733	 0.03692	 0.03479	 0.03694	 0.03736	 0.03645	
semileptonic correction			 -0.00434	 0.00037	 0.00221	 -0.00311	 -0.00212	 -0.00235	 0.00008	 -0.00015	 -0.00107	 0.00046	 0.00076	 0.00238	 -0.00293	
simulation tagging efficiency		 0.01061	 0.01478	 0.00903	 0.01337	 0.01878	 0.00885	 0.00461	 0.00648	 0.00730	 0.01089	 0.01130	 0.00460	 0.00451	
