
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.07963	 0.06546	 0.11259	 0.08216	 0.09538	 0.01902	 0.05876	 0.06357	 0.04800	 0.05381	 0.04332	 0.08393	 0.03351	
b-decay branching fractions		 0.00055	 0.00018	 0.00152	 0.00408	 0.00038	 0.00141	 0.00192	 0.00023	 0.00184	 0.00032	 0.00051	 0.00582	 0.00182	
b-decay p* spectrum			 -0.02060	 -0.01596	 -0.01477	 -0.00962	 -0.02821	 -0.03474	 -0.02112	 -0.00446	 -0.00710	 -0.00582	 -0.00347	 0.00453	 -0.00713	
b-fragmentation fraction		 0.00234	 0.00001	 -0.00439	 0.01021	 -0.00237	 0.00540	 -0.00852	 0.00364	 0.00216	 -0.00508	 0.00258	 -0.00053	 0.00040	
b-fragmentation function		 0.00376	 0.00084	 0.00695	 0.00356	 0.00163	 0.00376	 0.00416	 0.00137	 0.00392	 0.00090	 0.00057	 0.00191	 0.00224	
charm-light ratio			 0.01130	 0.01598	 0.00317	 0.02108	 0.01757	 0.01616	 0.01268	 0.01360	 0.00056	 0.00399	 0.00191	 0.01340	 0.02407	
fake muons in b-jets			 0.00005	 -0.00025	 0.00043	 -0.00153	 -0.00035	 -0.00030	 -0.00003	 -0.00079	 0.00032	 -0.00177	 -0.00070	 -0.00045	 -0.00106	
jet energy resolution			 -0.01013	 0.00758	 -0.03710	 -0.00847	 0.00314	 -0.01831	 -0.01884	 0.05287	 -0.01679	 -0.00891	 0.00705	 -0.00739	 -0.01060	
jet energy scale			 0.00742	 0.00098	 0.00832	 0.00361	 0.01554	 0.00340	 0.00755	 0.01511	 0.00813	 0.00525	 0.00084	 0.00289	 0.00969	
modelling of b-production		 0.00171	 0.00045	 0.00103	 0.00142	 0.00105	 0.00069	 0.00022	 0.00026	 0.00098	 0.00076	 0.00244	 0.00396	 0.00204	
modelling of c-production		 0.00116	 0.00208	 0.00785	 0.01137	 0.00025	 0.00170	 0.01025	 0.01049	 0.02108	 0.03648	 0.04804	 0.09482	 0.10281	
modelling of the b-hadron direction	 0.00375	 0.00856	 -0.00711	 -0.00352	 -0.00297	 -0.00627	 0.00537	 0.00704	 0.00517	 0.00785	 0.00793	 0.01175	 0.00773	
muon pT spectrum			 -0.00417	 -0.00604	 -0.01174	 -0.01470	 -0.00375	 -0.00814	 -0.00310	 -0.00038	 -0.00588	 -0.00367	 -0.00708	 -0.01178	 -0.00024	
pileup mu reweighting			 0.00540	 0.00099	 0.00849	 0.00937	 0.00024	 0.00062	 0.00202	 0.00873	 0.00182	 0.01448	 0.00208	 0.00327	 0.01344	
ptrel light template contamination	 -0.00266	 -0.00686	 -0.00739	 -0.00989	 -0.00765	 -0.00401	 -0.00649	 -0.00362	 -0.00870	 -0.00261	 -0.00240	 -0.00290	 -0.00103	
scale factor for inclusive b-jets	 0.03577	 0.03503	 0.04020	 0.03707	 0.03659	 0.03761	 0.03627	 0.03614	 0.03827	 0.03513	 0.03613	 0.03807	 0.03639	
semileptonic correction			 -0.00020	 -0.00143	 -0.00242	 0.00319	 -0.00343	 -0.00459	 0.00188	 -0.00034	 -0.00427	 0.00036	 -0.00236	 0.01099	 -0.00184	
simulation tagging efficiency		 0.01437	 0.01550	 0.01351	 0.01814	 0.02021	 0.00933	 0.00449	 0.00623	 0.00735	 0.01105	 0.01157	 0.00484	 0.00501	
