
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.08064	 0.06777	 0.14605	 0.08676	 0.12163	 0.01901	 0.01540	 0.04449	 0.03518	 0.04291	 0.03078	 0.07619	 0.02704	
b-decay branching fractions		 0.00091	 0.00005	 0.00403	 0.00738	 0.01061	 0.01437	 0.00375	 0.00070	 0.00292	 0.00047	 0.00078	 0.00868	 0.00156	
b-decay p* spectrum			 -0.03465	 -0.07002	 -0.02582	 -0.01759	 -0.05870	 -0.11292	 -0.04691	 -0.00885	 -0.01375	 -0.01152	 -0.00792	 -0.00247	 -0.01177	
b-fragmentation fraction		 0.00419	 0.00097	 -0.00793	 0.01644	 0.01738	 0.01291	 -0.01128	 0.00623	 0.00138	 -0.00508	 0.00415	 0.00255	 0.00235	
b-fragmentation function		 0.00794	 0.00112	 0.01273	 0.00546	 0.02343	 0.00461	 0.00878	 0.00160	 0.00540	 0.00073	 0.00243	 0.00349	 0.00330	
charm-light ratio			 0.01773	 0.02168	 0.00880	 0.02988	 0.02527	 0.02250	 0.01336	 0.01625	 0.00270	 0.00498	 0.00090	 0.02339	 0.03103	
fake muons in b-jets			 -0.00039	 -0.00052	 0.00224	 -0.00269	 -0.00182	 -0.00802	 0.00035	 -0.00076	 0.00056	 -0.00246	 0.00022	 -0.00156	 -0.00117	
jet energy resolution			 -0.04461	 0.00943	 -0.06366	 -0.01594	 -0.01932	 -0.13799	 -0.01605	 0.07443	 -0.02188	 -0.01273	 0.00942	 -0.00811	 -0.01172	
jet energy scale			 0.01041	 0.00281	 0.01318	 0.00723	 0.03824	 0.02082	 0.00956	 0.01882	 0.01447	 0.01012	 0.00189	 0.00566	 0.01172	
modelling of b-production		 0.00200	 0.00077	 0.00220	 0.00017	 0.00162	 0.00297	 0.00062	 0.00118	 0.00125	 0.00005	 0.00181	 0.00100	 0.00243	
modelling of c-production		 0.00220	 0.00287	 0.01218	 0.01617	 0.00107	 0.00239	 0.01630	 0.01763	 0.02879	 0.05168	 0.06509	 0.12197	 0.12908	
modelling of the b-hadron direction	 0.01004	 0.01048	 -0.00668	 -0.01242	 0.00232	 -0.00734	 0.01133	 0.00859	 0.00589	 0.00885	 0.00857	 0.01894	 0.01439	
muon pT spectrum			 -0.00727	 -0.01041	 -0.02619	 -0.02620	 -0.02356	 -0.05489	 -0.00521	 -0.00075	 -0.00910	 -0.00569	 -0.01154	 -0.01849	 -0.05498	
pileup mu reweighting			 0.00082	 0.00098	 0.01369	 0.01258	 0.00558	 0.00961	 0.00278	 0.01149	 0.00240	 0.01847	 0.00374	 0.00225	 0.01516	
ptrel light template contamination	 -0.00340	 -0.00936	 -0.01063	 -0.01142	 -0.01009	 -0.00560	 -0.00862	 -0.00461	 -0.01008	 -0.00304	 -0.00239	 -0.00309	 -0.00102	
scale factor for inclusive b-jets	 0.04056	 0.03921	 0.04608	 0.03996	 0.03940	 0.04266	 0.04227	 0.04044	 0.04214	 0.03945	 0.03990	 0.04214	 0.03902	
semileptonic correction			 -0.00131	 -0.00301	 -0.00440	 0.00914	 -0.01957	 -0.00639	 0.00235	 -0.00040	 -0.00594	 -0.00015	 -0.00480	 0.01506	 -0.00214	
simulation tagging efficiency		 0.01330	 0.01724	 0.01405	 0.02013	 0.02075	 0.00986	 0.00462	 0.00646	 0.00760	 0.01152	 0.01207	 0.00501	 0.00510	
