
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.08209	 0.07111	 0.09917	 0.08362	 0.09917	 0.03916	 0.06339	 0.06879	 0.05915	 0.06080	 0.04290	 0.09356	 0.03972	
b-decay branching fractions		 0.00052	 0.00019	 0.00130	 0.00284	 0.00026	 0.00113	 0.00177	 0.00023	 0.00176	 0.00036	 0.00039	 0.00583	 0.00161	
b-decay p* spectrum			 -0.01549	 -0.01341	 -0.01296	 -0.00712	 -0.01407	 -0.03024	 -0.01833	 -0.00472	 -0.00741	 -0.00462	 -0.00464	 0.00164	 -0.00704	
b-fragmentation fraction		 0.00201	 0.00039	 -0.00419	 0.00860	 -0.00173	 0.00681	 -0.00798	 0.00345	 0.00272	 -0.00466	 0.00131	 -0.00006	 0.00037	
b-fragmentation function		 0.00284	 0.00130	 0.00548	 0.00350	 0.00054	 0.00340	 0.00425	 0.00111	 0.00390	 0.00031	 0.00049	 0.00191	 0.00224	
charm-light ratio			 0.01019	 0.01430	 0.00245	 0.01667	 0.01239	 0.01496	 0.01183	 0.01246	 0.00063	 0.00420	 0.00160	 0.01231	 0.02085	
fake muons in b-jets			 0.00006	 -0.00026	 0.00041	 -0.00115	 -0.00026	 -0.00005	 -0.00010	 -0.00064	 0.00030	 -0.00165	 -0.00010	 -0.00045	 -0.00125	
jet energy resolution			 -0.00872	 0.00667	 -0.03521	 -0.00546	 0.00596	 -0.00928	 -0.01875	 0.04903	 -0.01484	 -0.00735	 0.00692	 -0.01021	 -0.00451	
jet energy scale			 0.00591	 0.00110	 0.00801	 0.00201	 0.00696	 0.00102	 0.00717	 0.01327	 0.00688	 0.00439	 0.00063	 0.00356	 0.01199	
modelling of b-production		 0.00152	 0.00034	 0.00083	 0.00172	 0.00055	 0.00059	 0.00003	 0.00036	 0.00085	 0.00069	 0.00226	 0.00280	 0.00086	
modelling of c-production		 0.00104	 0.00194	 0.00681	 0.00938	 0.00024	 0.00160	 0.00918	 0.00979	 0.02017	 0.03351	 0.04371	 0.09156	 0.09836	
modelling of the b-hadron direction	 0.00388	 0.00792	 -0.00678	 0.00018	 0.00113	 -0.00506	 0.00427	 0.00644	 0.00589	 0.00888	 0.00518	 0.01296	 0.00982	
muon pT spectrum			 -0.00322	 -0.00517	 -0.01035	 -0.01066	 -0.00175	 -0.00659	 -0.00292	 -0.00040	 -0.00570	 -0.00338	 -0.00723	 -0.01187	 0.00052	
pileup mu reweighting			 0.00461	 0.00187	 0.00744	 0.00707	 0.00011	 0.00049	 0.00169	 0.00817	 0.00190	 0.01378	 0.00252	 0.00387	 0.01360	
ptrel light template contamination	 -0.00225	 -0.00640	 -0.00639	 -0.00835	 -0.00565	 -0.00340	 -0.00623	 -0.00344	 -0.00878	 -0.00264	 -0.00236	 -0.00264	 -0.00108	
scale factor for inclusive b-jets	 0.03407	 0.03335	 0.03717	 0.03258	 0.03163	 0.03471	 0.03540	 0.03541	 0.03841	 0.03483	 0.03503	 0.03818	 0.03594	
semileptonic correction			 0.00009	 -0.00131	 -0.00209	 0.00190	 -0.00179	 -0.00345	 0.00167	 -0.00051	 -0.00465	 0.00050	 -0.00287	 0.00972	 -0.00143	
simulation tagging efficiency		 0.01478	 0.01656	 0.01107	 0.01665	 0.02112	 0.01002	 0.00458	 0.00633	 0.00746	 0.01114	 0.01159	 0.00485	 0.00511	
