
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03868	 0.04869	 0.04988	 0.02937	 0.05062	 0.01332	 0.03650	 0.05315	 0.03778	 0.04240	 0.08013	 0.05822	 0.04041	
b-decay branching fractions		 0.00075	 0.00151	 0.00100	 0.00046	 0.00095	 0.00032	 0.00220	 0.00011	 0.00074	 0.00202	 0.00014	 0.00063	 0.00030	
b-decay p* spectrum			 -0.02926	 -0.01221	 0.00741	 -0.01561	 -0.01309	 -0.02224	 -0.02964	 -0.00604	 -0.00080	 -0.01010	 0.00701	 -0.00067	 -0.00420	
b-fragmentation fraction		 -0.00087	 -0.00114	 -0.00343	 -0.00019	 -0.00624	 -0.00143	 -0.00877	 0.00341	 -0.00030	 0.00640	 -0.00283	 0.00141	 -0.00132	
b-fragmentation function		 0.00057	 0.00281	 0.00073	 0.00096	 0.00159	 0.00283	 0.00336	 0.00031	 0.00126	 0.00223	 0.00209	 0.00932	 0.00747	
charm-light ratio			 0.01368	 0.02289	 0.01033	 0.02695	 0.01786	 0.01578	 0.01417	 0.01015	 0.00555	 0.00748	 0.00736	 0.01202	 0.01947	
fake muons in b-jets			 -0.00008	 0.00002	 0.00101	 -0.00313	 -0.00006	 -0.00001	 -0.00011	 0.00078	 -0.00006	 -0.00115	 -0.00055	 -0.00045	 -0.00121	
jet energy resolution			 0.00443	 0.00067	 -0.01094	 0.00061	 0.00075	 -0.00000	 -0.00173	 0.00303	 0.00335	 0.00713	 0.00056	 -0.02351	 0.00172	
jet energy scale			 0.00549	 0.00223	 0.00564	 0.01682	 0.00643	 0.00219	 0.00434	 0.00680	 0.00524	 0.00313	 0.00850	 0.00655	 0.00324	
modelling of b-production		 0.00066	 0.00008	 0.00110	 0.00030	 0.00073	 0.00035	 0.00087	 0.00059	 0.00046	 0.00057	 0.00103	 0.00818	 0.00320	
modelling of c-production		 0.00177	 0.00652	 0.00346	 0.01577	 0.00110	 0.00250	 0.01513	 0.01206	 0.01825	 0.03182	 0.03882	 0.08454	 0.09462	
modelling of the b-hadron direction	 0.00250	 -0.00039	 0.00458	 0.00152	 0.00251	 0.00229	 0.00328	 -0.00642	 0.00849	 0.01095	 0.01106	 0.00356	 0.02461	
muon pT spectrum			 0.00649	 0.00695	 0.00623	 0.00965	 0.01029	 0.00255	 0.00800	 0.01023	 -0.00441	 -0.00259	 0.00002	 -0.01260	 -0.01282	
pileup mu reweighting			 0.00931	 0.00544	 0.00549	 0.00448	 0.00494	 0.00618	 0.00227	 0.00418	 0.00475	 0.00389	 0.00705	 0.00170	 0.01618	
ptrel light template contamination	 -0.00229	 -0.00662	 -0.00670	 -0.00952	 -0.00696	 -0.00323	 -0.00603	 -0.00479	 -0.00697	 -0.00245	 -0.00182	 -0.00666	 -0.00031	
scale factor for inclusive b-jets	 0.03655	 0.03589	 0.03692	 0.03594	 0.03309	 0.03648	 0.03859	 0.03823	 0.03843	 0.03686	 0.03811	 0.04025	 0.03900	
semileptonic correction			 -0.00454	 0.00047	 0.00201	 -0.00338	 -0.00153	 -0.00208	 0.00005	 -0.00010	 -0.00117	 0.00035	 0.00065	 0.00319	 -0.00370	
simulation tagging efficiency		 0.01087	 0.01365	 0.00856	 0.01288	 0.01786	 0.00826	 0.00439	 0.00624	 0.00705	 0.01056	 0.01079	 0.00446	 0.00431	
