
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.06607	 0.06770	 0.09035	 0.05885	 0.15668	 0.03554	 0.06733	 0.08031	 0.07369	 0.08000	 0.09323	 0.07834	 0.05936	
b-decay branching fractions		 0.00070	 0.00158	 0.00132	 0.00006	 0.00073	 0.00047	 0.00185	 0.00014	 0.00059	 0.00169	 0.00005	 0.00034	 0.00004	
b-decay p* spectrum			 -0.02374	 -0.01109	 0.00850	 -0.01336	 -0.01390	 -0.01863	 -0.02785	 -0.00557	 -0.00035	 -0.00830	 0.00764	 0.00117	 -0.00398	
b-fragmentation fraction		 -0.00070	 -0.00077	 -0.00406	 0.00012	 -0.00546	 -0.00196	 -0.00837	 0.00326	 -0.00100	 0.00596	 -0.00123	 0.00140	 -0.00196	
b-fragmentation function		 0.00149	 0.00472	 0.00026	 0.00072	 0.00164	 0.00271	 0.00208	 0.00043	 0.00157	 0.00199	 0.00250	 0.00793	 0.00666	
charm-light ratio			 0.01084	 0.02043	 0.01032	 0.02328	 0.01541	 0.01229	 0.01268	 0.00975	 0.00537	 0.00795	 0.00657	 0.01020	 0.01801	
fake muons in b-jets			 -0.00007	 0.00019	 0.00145	 -0.00264	 -0.00016	 -0.00011	 -0.00002	 0.00059	 -0.00004	 -0.00117	 -0.00062	 -0.00048	 -0.00087	
jet energy resolution			 0.00679	 0.00339	 -0.00971	 0.00225	 0.01087	 -0.00131	 -0.00391	 0.00125	 0.00440	 0.00832	 -0.00238	 -0.02183	 0.00019	
jet energy scale			 0.00233	 0.00038	 0.00809	 0.01554	 0.01713	 0.00269	 0.00045	 0.00674	 0.00530	 0.00312	 0.00914	 0.00524	 0.00397	
modelling of b-production		 0.00045	 0.00012	 0.00157	 0.00100	 0.00032	 0.00010	 0.00089	 0.00042	 0.00056	 0.00081	 0.00126	 0.00769	 0.00289	
modelling of c-production		 0.00143	 0.00571	 0.00306	 0.01333	 0.00091	 0.00210	 0.01280	 0.01116	 0.01684	 0.02940	 0.03558	 0.07645	 0.08961	
modelling of the b-hadron direction	 0.00323	 -0.00085	 0.00400	 0.00332	 0.00510	 0.00190	 0.00396	 -0.00497	 0.00917	 0.01021	 0.01010	 0.00411	 0.02224	
muon pT spectrum			 0.00892	 0.01101	 0.00920	 0.01113	 0.01578	 0.00464	 0.00943	 0.00890	 -0.00367	 -0.00130	 0.00111	 -0.01212	 -0.01013	
pileup mu reweighting			 0.00746	 0.00477	 0.00761	 0.00224	 0.00558	 0.00560	 0.00007	 0.00376	 0.00473	 0.00327	 0.00571	 0.00140	 0.01410	
ptrel light template contamination	 -0.00214	 -0.00547	 -0.00618	 -0.00754	 -0.00685	 -0.00244	 -0.00543	 -0.00417	 -0.00663	 -0.00258	 -0.00170	 -0.00556	 -0.00032	
scale factor for inclusive b-jets	 0.03234	 0.03288	 0.03497	 0.03008	 0.03073	 0.02951	 0.03482	 0.03560	 0.03690	 0.03388	 0.03509	 0.03735	 0.03718	
semileptonic correction			 -0.00381	 0.00011	 0.00208	 -0.00348	 -0.00121	 -0.00127	 -0.00114	 0.00035	 -0.00029	 -0.00022	 0.00041	 0.00292	 -0.00351	
simulation tagging efficiency		 0.00797	 0.01476	 0.01003	 0.01169	 0.01854	 0.00889	 0.00510	 0.00709	 0.00802	 0.01168	 0.01208	 0.00447	 0.00472	
