
#
# Last Updated: 12.10.2012
#

Systematic (abs.) 			 0.0-0.6 	 0.6-1.2 	 1.2-1.8 	 1.8-2.5 	  20- 30 	  30- 40 	  40- 50 	  50- 60 	  60- 75 	  75- 90 	  90-110 	 110-140 	 140-200 
MC statistics				 0.03860	 0.05168	 0.06649	 0.05103	 0.09057	 0.02122	 0.03586	 0.07721	 0.02642	 0.10013	 0.06385	 0.04858	 0.03095	
b-decay branching fractions		 0.00051	 0.00098	 0.00089	 0.00024	 0.00099	 0.00022	 0.00160	 0.00014	 0.00065	 0.00176	 0.00003	 0.00030	 0.00008	
b-decay p* spectrum			 -0.02236	 -0.00982	 0.00649	 -0.01199	 -0.01055	 -0.01765	 -0.02431	 -0.00503	 -0.00186	 -0.00827	 0.00561	 -0.00191	 -0.00821	
b-fragmentation fraction		 0.00022	 0.00008	 -0.00323	 -0.00032	 -0.00436	 -0.00130	 -0.00716	 0.00283	 -0.00034	 0.00567	 -0.00197	 0.00160	 -0.00166	
b-fragmentation function		 0.00075	 0.00358	 0.00029	 0.00099	 0.00191	 0.00391	 0.00194	 0.00030	 0.00067	 0.00150	 0.00184	 0.00552	 0.00804	
charm-light ratio			 0.01048	 0.01857	 0.00918	 0.02194	 0.01523	 0.01128	 0.01141	 0.00916	 0.00514	 0.00734	 0.00630	 0.01360	 0.02295	
fake muons in b-jets			 -0.00012	 -0.00004	 0.00046	 -0.00293	 -0.00023	 -0.00042	 -0.00006	 0.00061	 -0.00012	 -0.00104	 -0.00053	 -0.00078	 -0.00127	
jet energy resolution			 0.00398	 0.00070	 -0.00648	 0.00636	 0.00504	 -0.00048	 -0.00341	 0.00255	 0.00406	 0.00693	 -0.00156	 -0.03000	 0.00375	
jet energy scale			 0.00169	 0.00042	 0.00572	 0.01471	 0.01442	 0.00099	 0.00127	 0.00644	 0.00485	 0.00417	 0.00849	 0.00306	 0.00255	
modelling of b-production		 0.00039	 0.00009	 0.00103	 0.00002	 0.00029	 0.00015	 0.00078	 0.00033	 0.00055	 0.00044	 0.00071	 0.00397	 0.00492	
modelling of c-production		 0.00131	 0.00524	 0.00290	 0.01295	 0.00092	 0.00178	 0.01172	 0.01017	 0.01600	 0.02924	 0.03401	 0.08432	 0.10039	
modelling of the b-hadron direction	 0.00270	 -0.00018	 0.00369	 0.00504	 0.00362	 0.00232	 0.00320	 -0.00446	 0.00961	 0.00995	 0.00856	 0.00205	 0.02394	
muon pT spectrum			 0.00875	 0.01137	 0.01064	 0.01195	 0.02097	 0.00535	 0.00841	 0.00895	 -0.00311	 -0.00159	 0.00059	 -0.01480	 -0.01310	
pileup mu reweighting			 0.00701	 0.00399	 0.00497	 0.00170	 0.00394	 0.00446	 0.00102	 0.00358	 0.00436	 0.00350	 0.00634	 0.00017	 0.01483	
ptrel light template contamination	 -0.00193	 -0.00545	 -0.00585	 -0.00759	 -0.00603	 -0.00231	 -0.00486	 -0.00419	 -0.00646	 -0.00262	 -0.00187	 -0.00557	 -0.00039	
scale factor for inclusive b-jets	 0.03374	 0.03388	 0.03587	 0.03172	 0.03292	 0.03112	 0.03534	 0.03610	 0.03810	 0.03613	 0.03682	 0.04191	 0.04176	
semileptonic correction			 -0.00329	 0.00011	 0.00165	 -0.00275	 0.00080	 -0.00082	 -0.00076	 0.00053	 -0.00097	 -0.00041	 0.00099	 0.00389	 -0.00384	
simulation tagging efficiency		 0.00995	 0.01299	 0.00936	 0.01141	 0.01740	 0.00949	 0.00471	 0.00661	 0.00754	 0.01111	 0.01134	 0.00443	 0.00449	
